name,url_logo,api_id
Athletico-PR,https://media.api-sports.io/football/teams/134.png,134
Atlético-MG,https://media.api-sports.io/football/teams/1062.png,1062
Bahia,https://media.api-sports.io/football/teams/118.png,118
Botafogo,https://media.api-sports.io/football/teams/120.png,120
Chapecoense,https://media.api-sports.io/football/teams/146.png,146
Corinthians,https://media.api-sports.io/football/teams/131.png,131
Coritiba,https://media.api-sports.io/football/teams/132.png,132
Cruzeiro,https://media.api-sports.io/football/teams/135.png,135
Flamengo,https://media.api-sports.io/football/teams/127.png,127
Fluminense,https://media.api-sports.io/football/teams/124.png,124
Grêmio,https://media.api-sports.io/football/teams/130.png,130
Internacional,https://media.api-sports.io/football/teams/119.png,119
Mirassol,https://media.api-sports.io/football/teams/1183.png,1183
Palmeiras,https://media.api-sports.io/football/teams/121.png,121
Red Bull Bragantino,https://media.api-sports.io/football/teams/794.png,794
Remo,https://media.api-sports.io/football/teams/1139.png,1139
Santos,https://media.api-sports.io/football/teams/128.png,128
São Paulo,https://media.api-sports.io/football/teams/126.png,126
Vasco,https://media.api-sports.io/football/teams/133.png,133
Vitória,https://media.api-sports.io/football/teams/122.png,122
Anaheim Ducks,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,ANA
Boston Bruins,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg,BOS
Buffalo Sabres,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,BUF
Calgary Flames,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,CGY
Carolina Hurricanes,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,CAR
Chicago Blackhawks,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg,CHI
Colorado Avalanche,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,COL
Columbus Blue Jackets,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,CBJ
Dallas Stars,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,DAL
Detroit Red Wings,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,DET
Edmonton Oilers,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,EDM
Florida Panthers,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,FLA
Los Angeles Kings,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,LAK
Minnesota Wild,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,MIN
Montréal Canadiens,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,MTL
Nashville Predators,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,NSH
New Jersey Devils,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,NJD
New York Islanders,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,NYI
New York Rangers,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,NYR
Ottawa Senators,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,OTT
Philadelphia Flyers,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,PHI
Pittsburgh Penguins,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,PIT
San Jose Sharks,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,SJS
Seattle Kraken,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,SEA
St. Louis Blues,https://assets.nhle.com/logos/nhl/svg/STL_light.svg,STL
Tampa Bay Lightning,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,TBL
Toronto Maple Leafs,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,TOR
Utah Mammoth,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg,UTA
Vancouver Canucks,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,VAN
Vegas Golden Knights,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,VGK
Washington Capitals,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,WSH
Winnipeg Jets,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,WPG